,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
30,"['Tinn Isriyanet', 'Pacharapun Chochuwong', 'Lee Chun Hei Reginald [7]', 'Chau Hoi Wah']","['[THA] ', '[THA] ', '[HKG] ', '[HKG] ']","['21-17', '19-21', '21-17']",XD,20180306,"Mülheim an der Ruhr, Germany"
31,"['Dechapol Puavaranukroh [5]', 'Sapsiree Taerattanachai', 'Mikkel Mikkelsen', 'Mai Surrow']","['[THA] ', '[THA] ', '[DEN] ', '[DEN] ']","['23-21', '15-21', '21-14']",XD,20180306,"Mülheim an der Ruhr, Germany"
32,"['Lee Yang', 'Hsu Ya Ching', 'Robin Tabeling', 'Cheryl Seinen']","['[TPE] ', '[TPE] ', '[NED] ', '[NED] ']","['21-13', '18-21', '21-15']",XD,20180306,"Mülheim an der Ruhr, Germany"
33,"['Goh Soon Huat [3]', 'Shevon Jemie Lai', 'Sam Magee', 'Chloe Magee']","['[MAS] ', '[MAS] ', '[IRL] ', '[IRL] ']","['15-21', '21-17', '21-17']",XD,20180306,"Mülheim an der Ruhr, Germany"
34,"['Niclas Nohr', 'Sara Thygesen', 'Tan Kian Meng [4]', 'Lai Pei Jing']","['[DEN] ', '[DEN] ', '[MAS] ', '[MAS] ']","['21-17', '21-13']",XD,20180306,"Mülheim an der Ruhr, Germany"
35,"['Marcus Ellis', 'Lauren Smith', 'Marvin Emil Seidel', 'Linda Efler']","['[ENG] ', '[ENG] ', '[GER] ', '[GER] ']","['21-17', '21-5']",XD,20180306,"Mülheim an der Ruhr, Germany"
36,"['Seung Jae Seo [2]', 'Kim Ha Na', 'Lu Ching Yao', 'Chiang Kai Hsin']","['[KOR] ', '[KOR] ', '[TPE] ', '[TPE] ']","['21-19', '12-21', '21-17']",XD,20180306,"Mülheim an der Ruhr, Germany"
37,"['He Jiting', 'Du Yue', 'Anton Kaisti', 'Jenny Nystrom']","['[CHN] ', '[CHN] ', '[FIN] ', '[FIN] ']","['21-14', '21-13']",XD,20180306,"Mülheim an der Ruhr, Germany"
38,"['Jelle Maas', 'Imke Van Der Aar', 'Takuro Hoki', 'Mayu Matsumoto']","['[NED] ', '[NED] ', '[JPN] ', '[JPN] ']","['21-19', '14-21', '21-16']",XD,20180306,"Mülheim an der Ruhr, Germany"
39,"['Tang Chun Man [1]', 'Tse Ying Suet', 'Mark Lamsfuss', 'Isabel Herttrich']","['[HKG] ', '[HKG] ', '[GER] ', '[GER] ']","['19-21', '21-10', '21-18']",XD,20180306,"Mülheim an der Ruhr, Germany"
40,"['Pranaav Jerry Chopra', 'Reddy N. Sikki', 'Chang Ko-Chi', 'Cheng Chi Ya']","['[IND] ', '[IND] ', '[TPE] ', '[TPE] ']","['24-22', '17-21', '21-19']",XD,20180306,"Mülheim an der Ruhr, Germany"
41,"['Chen Qingchen [1]', 'Jia Yifan', 'Supissara Paewsampran', 'Puttita Supajirakul']","['[CHN] ', '[CHN] ', '[THA] ', '[THA] ']","['21-14', '21-18']",WD,20180306,"Mülheim an der Ruhr, Germany"
42,"['Sung Ji Hyun [2]', 'Fitriani Fitriani']","['[KOR] ', '[INA] ']","['21-12', '21-16']",WS,20180306,"Mülheim an der Ruhr, Germany"
43,"['Della Destiara Haris [8]', 'Rizki Amelia Pradipta', 'Anastasia Chervyakova', 'Olga Morozova']","['[INA] ', '[INA] ', '[RUS] ', '[RUS] ']","['21-19', '21-16']",WD,20180306,"Mülheim an der Ruhr, Germany"
44,"['Kento Momota', 'Wang Tzu Wei [7]']","['[JPN] ', '[TPE] ']","['21-18', '21-15']",MS,20180306,"Mülheim an der Ruhr, Germany"
45,"['Kim Hyo Min', 'Pornpawee Chochuwong']","['[KOR] ', '[THA] ']","['21-8', '21-19']",WS,20180306,"Mülheim an der Ruhr, Germany"
46,"['Kim So Yeong', 'Hee Yong Kong', 'Julie Finne-Ipsen', 'Rikke Søby']","['[KOR] ', '[KOR] ', '[DEN] ', '[DEN] ']","['21-14', '21-11']",WD,20180306,"Mülheim an der Ruhr, Germany"
47,"['Choi Solgyu [8]', 'Chae Yoo Jung', 'Thom Gicquel', 'Delphine Delrue']","['[KOR] ', '[KOR] ', '[FRA] ', '[FRA] ']","['21-12', '22-20']",XD,20180306,"Mülheim an der Ruhr, Germany"
48,"['Suppanyu Avihingsanon', 'Hsu Jen Hao']","['[THA] ', '[TPE] ']","['21-15', '22-20']",MS,20180306,"Mülheim an der Ruhr, Germany"
49,"['Chang Ye Na [7]', 'Hye Rin Kim', 'Chayanit Chaladchalam', 'Phataimas Muenwong']","['[KOR] ', '[KOR] ', '[THA] ', '[THA] ']","['21-17', '21-16']",WD,20180306,"Mülheim an der Ruhr, Germany"
50,"['Yuta Watanabe', 'Arisa Higashino', 'Yuki Kaneko', 'Koharu Yonemoto']","['[JPN] ', '[JPN] ', '[JPN] ', '[JPN] ']","['21-13', '21-15']",XD,20180306,"Mülheim an der Ruhr, Germany"
51,"['Nitchaon Jindapol [6]', 'Lyanny Alessandra Mainaky']","['[THA] ', '[INA] ']","['21-8', '21-12']",WS,20180306,"Mülheim an der Ruhr, Germany"
52,"['Chen Xiaoxin', 'Lee Jang Mi']","['[CHN] ', '[KOR] ']","['21-16', '22-20']",WS,20180306,"Mülheim an der Ruhr, Germany"
53,"['Gabriela Stoeva', 'Stefani Stoeva', 'Hsu Ya Ching', 'Wu Ti Jung']","['[BUL] ', '[BUL] ', '[TPE] ', '[TPE] ']","['21-23', '21-13', '21-11']",WD,20180306,"Mülheim an der Ruhr, Germany"
54,"['Kantaphon Wangcharoen', 'Tanongsak Saensomboonsuk']","['[THA] ', '[THA] ']","['21-18', '21-12']",MS,20180306,"Mülheim an der Ruhr, Germany"
