,PLAYERS,RATING,match_week
406,Zulfadli Zulkiffli,20.22751606241976,20171017
971,Daniel S. Farid,20.176991055913764,20171017
882,Pablo Abian,20.16651406531649,20171017
1330,Adam Mendrek,20.069849921979703,20171017
68,Jose Guevara,20.05838633336115,20171017
1035,Mads Christophersen,20.053344490553442,20171017
622,Shiau Cheng Chen,19.895808194121273,20171017
1022,Eetu Heino,19.666856296865827,20171017
1145,Luis Ramon Garrido,19.59583535303305,20171017
624,Chia Hung Lu,19.56322439202396,20171017
1244,Anthony Joe,19.528581046756564,20171017
405,Aditya Joshi,19.49797678276008,20171017
700,Iskandar Zulkarnain,19.411341040418023,20171017
968,Ye Binghong,19.37621051774436,20171017
829,Adham Hatem Elgamal,19.34706130424828,20171017
184,Muhammad Bayu Pangisthu,19.199106691389296,20171017
1278,Yee Han Chong,19.09514824270033,20171017
127,Wang Yuehang,19.03695721418436,20171017
360,Truong Thanh Long,18.903946191493933,20171017
527,Anibal Marroquin,18.87766768966194,20171017
1075,Mateusz Dubowski,18.846625599603975,20171017
1170,Hans-Kristian Vittinghus,18.7041578270847,20171017
496,Dionysius Hayom Rumbaka,18.650050971052334,20171017
1356,Ikhsan Leonardo Imanuel Rumbay,18.615646413889706,20171017
928,Takuma Ueda,18.49088274930215,20171017
889,Ivan Rusev,18.479034057734378,20171017
1014,Liew Daren,18.44845752860877,20171017
1315,Siril Verma,18.443643377132616,20171017
1201,Abhishek Yelegar,18.44243213589626,20171017
1122,Su Li Yang,18.42926464396007,20171017
72,Yusuke Onodera,18.403938115230805,20171017
1218,Howard Shu,18.30949058345567,20171017
1049,Ajay Jayaram,18.234282426818854,20171017
635,Iikka Heino,18.201116783715072,20171017
844,Emre Lale,18.051586540165744,20171017
666,Maxime Moreels,18.02526357286157,20171017
1092,Jan Frohlich,17.80841445506332,20171017
661,Kantaphon Wangcharoen,17.798481368590103,20171017
563,Luís Enrique Peñalver,17.683094285610697,20171017
61,Ahmed Salah,17.562979206198392,20171017
811,Lim Chi Wing,17.53532937305005,20171017
880,Zin Rei Ryan Ng,17.52734392911315,20171017
309,Dinuka Karunaratna,17.495352343812442,20171017
544,Luka Wraber,17.4703766236346,20171017
479,Buwaneka Goonethilleka,17.431853692000463,20171017
1104,Artur Silva Pomoceno,17.245824001306048,20171017
1266,Harsheel Dani,17.22563510186105,20171017
330,Kunlavut Vitidsarn,17.218228363749954,20171017
96,Wei Nan,17.21012529089279,20171017
398,Rahul Yadav Chittaboina,17.16658685320827,20171017
881,Henrikho Kho Wibowo,17.1461264688916,20171017
433,Chirag Sen,16.96740189479643,20171017
1363,Alexander Roovers,16.918246782569025,20171017
369,Kieran Merrilees,16.899453845387857,20171017
161,Fabio Caponio,16.868567821093606,20171017
821,Muhammad Izzuddin Shamsul Muzli,16.686685675255625,20171017
1152,Toby Penty,16.682651090016154,20171017
286,Nyoman Tryadnya Arya Kurniawan,16.61601340868637,20171017
804,Saran Jamsri,16.589667758006215,20171017
138,Kiran George,16.50561325617047,20171017
1089,Cao Cuong Pham,16.483485405722092,20171017
10,Bjorn Seguin,16.413927896321596,20171017
458,Dennis Coke,16.383491896802198,20171017
1072,Hashiru Shimono,16.343034498680673,20171017
112,Sam Parsons,16.33989317736372,20171017
324,Arnaud Merkle,16.103710098246975,20171017
41,Qiao Bin,16.045318439409407,20171017
1183,Pham Cao Cuong,16.024191683598012,20171017
